location,period,sex,total_prob,prob_cancer,prob_card,prob_resp,prob_diab
Algeria,2025,Both sexes,14.5485,5.9006,6.3591,1.7068,0.582
Algeria,2025,Female,13.4163,5.7276,5.6335,1.9063,0.1489
Algeria,2025,Male,15.3868,6.5748,6.7403,1.6123,0.4594
Angola,2000,Both sexes,24.0,9.6199,10.2145,3.7081,0.4575
Angola,2000,Female,23.8,9.9802,10.6347,2.8162,0.3689
Angola,2000,Male,24.2,10.4607,9.891,2.9375,0.9108
Angola,2005,Both sexes,21.3,9.1947,9.0906,2.7248,0.2899
Angola,2005,Female,21.2,8.5232,9.1063,2.7839,0.7866
Angola,2005,Male,21.5,9.498,8.9448,2.6818,0.3754
Angola,2010,Both sexes,18.1,7.683,8.132,1.9288,0.3562
Angola,2010,Female,17.8,7.7681,7.4473,1.9564,0.6282
Angola,2010,Male,18.6,8.0651,8.1483,2.0238,0.3628
Angola,2015,Both sexes,16.9,7.0007,6.7912,2.5271,0.581
Angola,2015,Female,16.3,7.2602,6.7152,2.067,0.2576
Angola,2015,Male,17.6,7.4824,7.0853,2.6602,0.3721
Angola,2020,Both sexes,16.5,6.8666,7.028,1.9764,0.629
Angola,2020,Female,16.0,6.6014,6.7978,2.2482,0.3526
Angola,2020,Male,17.2,7.1927,7.7157,1.548,0.7436
Angola,2025,Both sexes,16.8459,6.981,7.199,2.0295,0.6364
Angola,2025,Female,16.251,6.6959,6.9206,2.2733,0.3612
Angola,2025,Male,17.5714,7.3609,7.8603,1.5871,0.7631
Antigua and Barbuda,2000,Both sexes,23.4,9.7407,10.2334,2.5838,0.8421
Antigua and Barbuda,2000,Female,20.8,8.4174,8.7024,3.2515,0.4287
Antigua and Barbuda,2000,Male,26.8,11.858,11.6012,2.4636,0.8772
Antigua and Barbuda,2005,Both sexes,21.6,9.3566,8.6455,3.243,0.3549
Antigua and Barbuda,2005,Female,21.3,8.7588,9.2785,2.8475,0.4152
Antigua and Barbuda,2005,Male,21.8,9.3181,9.4742,2.2212,0.7865
Antigua and Barbuda,2010,Both sexes,21.6,9.5981,9.4823,1.944,0.5756
Antigua and Barbuda,2010,Female,19.3,8.3052,7.7289,2.9946,0.2713
Antigua and Barbuda,2010,Male,24.2,9.7818,9.8756,3.4308,1.1118
Antigua and Barbuda,2015,Both sexes,22.6,9.3133,9.1452,3.1044,1.0371
Antigua and Barbuda,2015,Female,19.7,8.224,8.5951,1.977,0.9039
Antigua and Barbuda,2015,Male,25.5,11.348,11.0072,2.544,0.6008
Antigua and Barbuda,2020,Both sexes,22.6,9.4254,9.1682,2.9444,1.062
Antigua and Barbuda,2020,Female,20.0,8.8172,8.5552,2.0039,0.6237
Antigua and Barbuda,2020,Male,25.2,11.1854,10.405,2.6923,0.9173
Antigua and Barbuda,2025,Both sexes,23.0367,9.631,9.285,3.0326,1.0881
Antigua and Barbuda,2025,Female,20.406,9.0461,8.6624,2.0586,0.6389
Antigua and Barbuda,2025,Male,25.804,11.5015,10.6145,2.7597,0.9283
Argentina,2000,Both sexes,20.6,9.2598,8.3843,2.3229,0.633
Argentina,2000,Female,14.7,6.3963,6.1442,1.8398,0.3197
Argentina,2000,Male,26.9,11.9401,11.7563,2.421,0.7826
Argentina,2005,Both sexes,18.9,8.3643,7.8595,2.359,0.3172
Argentina,2005,Female,13.6,5.8276,5.5061,1.7957,0.4706
Argentina,2005,Male,24.6,10.5249,10.9915,2.214,0.8696
Argentina,2010,Both sexes,17.8,7.4494,7.1338,2.3778,0.839
Argentina,2010,Female,13.2,5.843,5.4743,1.5473,0.3354
Argentina,2010,Male,22.8,9.6081,10.222,2.052,0.9179
Argentina,2015,Both sexes,16.1,6.5972,7.0216,2.1394,0.3418
Argentina,2015,Female,12.4,5.5431,5.5514,1.116,0.1895
Argentina,2015,Male,20.2,8.1046,8.7319,3.0184,0.3451
Argentina,2020,Both sexes,15.8,6.5128,7.0887,1.7921,0.4064
Argentina,2020,Female,12.2,5.1866,5.2319,1.4191,0.3624
Argentina,2020,Male,19.7,8.7587,8.5017,1.773,0.6666
Argentina,2025,Both sexes,16.1746,6.698,7.2272,1.8334,0.416
Argentina,2025,Female,12.3536,5.2396,5.3112,1.4365,0.3663
Argentina,2025,Male,20.2397,9.0177,8.7166,1.8211,0.6843
Armenia,2000,Both sexes,27.8,11.8377,11.5689,3.2312,1.1622
Armenia,2000,Female,21.0,8.4266,9.4108,2.2504,0.9122
Armenia,2000,Male,35.4,14.6394,14.937,5.3586,0.465
Armenia,2005,Both sexes,26.5,10.886,11.4253,3.8332,0.3555
Armenia,2005,Female,19.2,8.2919,8.377,1.728,0.8031
Armenia,2005,Male,34.9,14.0502,14.8872,4.8589,1.1037
Armenia,2010,Both sexes,25.9,10.7311,11.1251,3.7532,0.2906
Armenia,2010,Female,17.9,7.2737,7.6274,2.2686,0.7303
Armenia,2010,Male,35.1,14.1055,15.4837,4.6541,0.8567
Armenia,2015,Both sexes,23.0,10.1152,10.2235,2.1204,0.5409
Armenia,2015,Female,15.7,6.3082,6.6455,2.2485,0.4978
Armenia,2015,Male,31.6,13.2334,12.7885,4.5311,1.047
Armenia,2020,Both sexes,22.3,9.8224,9.8233,2.007,0.6473
Armenia,2020,Female,15.0,6.5987,6.4875,1.35,0.5638
Armenia,2020,Male,30.9,13.771,13.15,3.0501,0.9289
Armenia,2025,Both sexes,22.7541,10.043,10.016,2.041,0.6541
Armenia,2025,Female,15.3597,6.7782,6.6415,1.3689,0.5711
Armenia,2025,Male,31.644,14.0224,13.5424,3.1341,0.9451
Australia,2000,Both sexes,13.1,5.801,5.6714,1.4112,0.2164
Australia,2000,Female,10.0,4.2929,4.4701,0.9068,0.3302
Australia,2000,Male,16.1,6.4968,6.9571,2.468,0.1781
Australia,2005,Both sexes,11.4,4.6587,4.8073,1.6383,0.2957
Australia,2005,Female,8.8,3.6848,3.7954,1.0547,0.2651
Australia,2005,Male,13.9,5.988,6.0014,1.7464,0.1642
Australia,2010,Both sexes,10.0,4.058,4.023,1.8027,0.1163
Australia,2010,Female,7.8,3.1582,3.3117,1.1044,0.2257
Australia,2010,Male,12.1,5.3576,5.2657,1.1262,0.3505
Australia,2015,Both sexes,9.3,4.164,4.0631,0.837,0.2359
Australia,2015,Female,7.3,3.0499,3.1966,0.9763,0.0772
Australia,2015,Male,11.3,4.8656,4.7571,1.4523,0.225
Australia,2020,Both sexes,9.1,3.9567,3.8261,1.1632,0.154
Australia,2020,Female,7.2,3.1373,3.1177,0.7925,0.1525
Australia,2020,Male,11.0,4.486,4.5376,1.6247,0.3517
Australia,2025,Both sexes,9.2789,4.0162,3.9287,1.1767,0.1573
Australia,2025,Female,7.3729,3.2072,3.1968,0.8137,0.1552
Australia,2025,Male,11.2678,4.6189,4.6206,1.6666,0.3617
Austria,2000,Both sexes,15.3,6.7767,6.4482,1.4626,0.6125
Austria,2000,Female,10.7,4.5503,4.7222,1.1836,0.2439
Austria,2000,Male,20.0,8.7545,8.1031,2.2203,0.9221
Austria,2005,Both sexes,12.7,5.1927,5.5566,1.4138,0.5369
Austria,2005,Female,9.1,3.9933,3.7951,0.8819,0.4297
Austria,2005,Male,16.5,7.4172,6.9404,1.7319,0.4105
Austria,2010,Both sexes,12.2,5.3768,5.0519,1.5916,0.1797
Austria,2010,Female,8.7,3.7998,3.8295,0.8856,0.1851
Austria,2010,Male,15.8,6.8704,6.8169,1.422,0.6907
Austria,2015,Both sexes,11.5,4.6399,4.6579,2.0788,0.1234
Austria,2015,Female,8.5,3.5356,3.7591,1.1125,0.0928
Austria,2015,Male,14.6,5.9089,6.3386,2.1649,0.1876
Austria,2020,Both sexes,11.4,4.7813,4.9267,1.3691,0.3229
Austria,2020,Female,8.5,3.8085,3.7848,0.765,0.1417
Austria,2020,Male,14.4,6.1528,6.4379,1.4429,0.3664
Austria,2025,Both sexes,11.6038,4.905,4.98,1.3872,0.3316
Austria,2025,Female,8.6254,3.8606,3.838,0.7832,0.1436
Austria,2025,Male,14.5951,6.2249,6.5181,1.482,0.3701
Azerbaijan,2000,Both sexes,29.3,13.1654,12.2683,3.1389,0.7274
Azerbaijan,2000,Female,22.9,10.0226,9.5908,2.9811,0.3055
Azerbaijan,2000,Male,36.1,15.9071,16.1498,3.249,0.7941
Azerbaijan,2005,Both sexes,29.0,12.4964,11.7466,4.3694,0.3876
Azerbaijan,2005,Female,22.3,9.7075,9.0107,3.2832,0.2986
Azerbaijan,2005,Male,36.1,15.7052,14.5713,4.2756,1.5479
Azerbaijan,2010,Both sexes,24.8,10.5331,9.9914,3.4824,0.7931
Azerbaijan,2010,Female,18.9,7.6706,7.6951,2.7695,0.7648
Azerbaijan,2010,Male,31.3,13.211,13.9093,3.4274,0.7523
Azerbaijan,2015,Both sexes,22.5,9.7108,9.5045,2.7958,0.4889
Azerbaijan,2015,Female,16.4,7.2091,7.2075,1.7596,0.2238
Azerbaijan,2015,Male,29.1,12.1182,12.6185,3.1965,1.1668
Azerbaijan,2020,Both sexes,22.2,9.874,9.312,2.7823,0.2317
Azerbaijan,2020,Female,16.1,7.2048,7.2052,1.449,0.241
Azerbaijan,2020,Male,28.7,12.7792,11.611,3.6562,0.6536
Azerbaijan,2025,Both sexes,22.6758,10.1225,9.48,2.8391,0.2342
Azerbaijan,2025,Female,16.4452,7.3946,7.3272,1.4756,0.2478
Azerbaijan,2025,Male,29.254,12.9126,11.9235,3.7535,0.6644
Bahamas,2000,Both sexes,20.1,8.0857,8.3224,2.7268,0.9651
Bahamas,2000,Female,16.7,6.9116,6.8371,2.4746,0.4767
Bahamas,2000,Male,23.9,10.6239,10.1045,2.3398,0.8318
Bahamas,2005,Both sexes,18.5,7.9123,8.2966,1.719,0.5721
Bahamas,2005,Female,15.1,6.5138,6.4812,1.4097,0.6953
Bahamas,2005,Male,22.4,9.6649,9.7392,2.3646,0.6313
Bahamas,2010,Both sexes,16.9,6.9489,7.5739,2.1999,0.1773
Bahamas,2010,Female,13.8,5.8841,6.2051,1.532,0.1788
Bahamas,2010,Male,20.3,9.1044,8.1638,2.1052,0.9266
Bahamas,2015,Both sexes,15.6,6.3327,6.3317,2.3745,0.5611
Bahamas,2015,Female,12.8,5.3599,5.3029,1.5645,0.5727
Bahamas,2015,Male,18.8,8.2213,8.0684,1.692,0.8183
Bahamas,2020,Both sexes,15.5,6.8023,6.6328,1.6469,0.418
Bahamas,2020,Female,12.7,5.0872,5.3776,2.0796,0.1556
Bahamas,2020,Male,18.6,8.2829,7.5434,2.2212,0.5525
Bahamas,2025,Both sexes,15.751,6.8722,6.786,1.6698,0.423
Bahamas,2025,Female,12.9496,5.1752,5.4944,2.1214,0.1586
Bahamas,2025,Male,19.0212,8.4746,7.7258,2.2561,0.5647
Bahrain,2000,Both sexes,23.5,10.5747,10.571,2.115,0.2393
Bahrain,2000,Female,24.3,10.0205,10.2674,3.6435,0.3686
Bahrain,2000,Male,22.7,9.9528,10.1523,2.043,0.5519
Bahrain,2005,Both sexes,18.1,8.1178,8.0021,1.629,0.3511
Bahrain,2005,Female,17.2,6.9285,7.6237,1.9166,0.7312
Bahrain,2005,Male,18.7,7.9182,7.8679,2.5224,0.3915
Bahrain,2010,Both sexes,13.8,6.1176,5.5512,1.9787,0.1525
Bahrain,2010,Female,13.7,5.583,5.887,1.8843,0.3457
Bahrain,2010,Male,14.2,5.9473,6.2555,1.2944,0.7028
Bahrain,2015,Both sexes,11.7,5.0806,4.7751,1.301,0.5433
Bahrain,2015,Female,12.2,5.2542,5.1351,1.2335,0.5772
Bahrain,2015,Male,11.4,5.0288,5.1014,1.026,0.2438
Bahrain,2020,Both sexes,11.3,4.7196,4.8498,1.5825,0.1481
Bahrain,2020,Female,11.9,5.079,4.9442,1.3705,0.5063
Bahrain,2020,Male,10.9,4.891,4.8975,0.981,0.1305
Bahrain,2025,Both sexes,11.5249,4.8245,4.9329,1.6151,0.1524
Bahrain,2025,Female,12.1115,5.1646,5.0275,1.4059,0.5135
Bahrain,2025,Male,11.1497,5.008,5.003,1.0066,0.1321
Bangladesh,2000,Both sexes,21.4,8.7174,9.5514,2.4959,0.6353
Bangladesh,2000,Female,23.1,9.809,9.6197,2.8551,0.8162
Bangladesh,2000,Male,19.7,8.1344,8.3322,2.2641,0.9693
Bangladesh,2005,Both sexes,21.8,9.1968,9.7055,2.3759,0.5218
Bangladesh,2005,Female,22.3,9.6136,9.8815,2.007,0.7979
Bangladesh,2005,Male,21.5,9.1525,9.4424,2.349,0.5561
Bangladesh,2010,Both sexes,22.2,9.7182,9.5685,2.066,0.8473
Bangladesh,2010,Female,21.9,9.1439,9.406,2.7875,0.5626
Bangladesh,2010,Male,22.4,9.1985,9.1127,3.8517,0.2371
Bangladesh,2015,Both sexes,21.7,9.518,9.2444,1.981,0.9566
Bangladesh,2015,Female,20.7,8.6976,8.4187,3.3529,0.2308
Bangladesh,2015,Male,22.7,9.7064,9.7167,2.2539,1.023
Bangladesh,2020,Both sexes,21.6,9.6704,9.2947,2.2214,0.4135
Bangladesh,2020,Female,20.4,8.2758,8.845,2.6506,0.6286
Bangladesh,2020,Male,22.6,9.799,9.7385,2.5127,0.5498
Bangladesh,2025,Both sexes,21.8785,9.788,9.4032,2.2694,0.4179
Bangladesh,2025,Female,20.7376,8.456,8.9559,2.6873,0.6384
Bangladesh,2025,Male,23.0771,9.9106,10.0293,2.5771,0.5601
Barbados,2000,Both sexes,21.0,8.6198,8.789,2.9742,0.617
Barbados,2000,Female,17.6,7.6978,7.0723,2.4762,0.3537
Barbados,2000,Male,25.1,10.8159,10.503,3.0657,0.7154
Barbados,2005,Both sexes,18.8,8.1102,7.5969,2.248,0.8449
Barbados,2005,Female,14.9,6.5606,6.5175,1.563,0.2589
Barbados,2005,Male,23.3,10.3928,9.3912,3.025,0.491
Barbados,2010,Both sexes,18.0,7.2798,7.3086,2.8998,0.5118
Barbados,2010,Female,14.6,6.344,5.8687,1.7745,0.6128
Barbados,2010,Male,22.0,9.027,9.2007,3.1093,0.663
Barbados,2015,Both sexes,16.3,7.2509,6.9063,1.5446,0.5982
Barbados,2015,Female,13.1,5.3507,5.4225,2.1031,0.2237
Barbados,2015,Male,19.9,8.1315,8.1513,3.3857,0.2315
Barbados,2020,Both sexes,16.2,6.6745,6.5414,2.7385,0.2456
Barbados,2020,Female,12.9,5.5734,5.2773,1.742,0.3073
Barbados,2020,Male,19.7,8.0061,8.0296,3.3579,0.3064
Barbados,2025,Both sexes,16.4479,6.8107,6.6163,2.7686,0.2523
Barbados,2025,Female,13.1241,5.686,5.3619,1.7621,0.3141
Barbados,2025,Male,20.2194,8.205,8.251,3.4502,0.3132
Belarus,2000,Both sexes,34.0,14.0181,13.8732,5.515,0.5937
Belarus,2000,Female,22.1,8.9287,9.4196,3.168,0.5837
Belarus,2000,Male,47.2,19.5528,19.2892,6.1929,2.1651
Belarus,2005,Both sexes,34.7,14.5099,15.0007,4.0501,1.1393
Belarus,2005,Female,21.6,8.8962,8.7499,3.6058,0.3481
Belarus,2005,Male,49.2,20.556,22.1068,4.853,1.6842
Belarus,2010,Both sexes,31.0,13.6232,13.1726,3.7864,0.4178
Belarus,2010,Female,18.4,7.7571,7.4774,2.7726,0.3929
Belarus,2010,Male,45.2,19.2939,19.4063,4.7001,1.7997
Belarus,2015,Both sexes,24.5,10.2622,9.8246,3.8526,0.5606
Belarus,2015,Female,14.4,6.4012,6.1874,1.296,0.5154
Belarus,2015,Male,36.4,14.9448,15.156,5.7607,0.5385
Belarus,2020,Both sexes,23.7,10.3253,10.5408,2.133,0.7009
Belarus,2020,Female,13.8,5.8875,5.6873,1.9386,0.2866
Belarus,2020,Male,35.2,15.0165,14.2686,4.9329,0.982
Belarus,2025,Both sexes,24.1794,10.5158,10.7833,2.1649,0.7154
Belarus,2025,Female,14.0041,5.9495,5.7887,1.9739,0.292
Belarus,2025,Male,35.8358,15.2862,14.5052,5.0508,0.9936
Belgium,2000,Both sexes,15.2,6.5327,6.4384,1.8265,0.4024
Belgium,2000,Female,10.6,4.7515,4.3059,1.1268,0.4158
Belgium,2000,Male,20.1,8.3906,8.9742,1.8664,0.8688
Belgium,2005,Both sexes,13.5,5.6272,5.4907,2.2128,0.1693
Belgium,2005,Female,9.7,4.0035,4.2105,1.094,0.392
Belgium,2005,Male,17.4,7.8213,7.2404,1.6006,0.7377
Belgium,2010,Both sexes,12.8,5.2751,5.1935,1.8907,0.4407
Belgium,2010,Female,9.6,4.0709,4.0956,1.3175,0.116
Belgium,2010,Male,16.2,6.7138,6.9508,2.2734,0.262
Belgium,2015,Both sexes,11.6,5.179,4.9629,1.0768,0.3813
Belgium,2015,Female,8.8,3.6624,3.7072,1.1637,0.2667
Belgium,2015,Male,14.4,5.9616,6.314,1.8726,0.2518
Belgium,2020,Both sexes,11.4,5.12,4.6239,1.3608,0.2953
Belgium,2020,Female,8.6,3.5509,3.5135,1.2196,0.316
Belgium,2020,Male,14.1,6.3235,6.2502,1.269,0.2573
Belgium,2025,Both sexes,11.6025,5.2056,4.6944,1.3983,0.3042
Belgium,2025,Female,8.7828,3.6484,3.5775,1.2321,0.3248
Belgium,2025,Male,14.4193,6.5102,6.3556,1.2893,0.2642
Belize,2000,Both sexes,26.2,11.2923,11.1788,2.5301,1.1988
Belize,2000,Female,22.7,9.362,9.9244,3.1561,0.2575
Belize,2000,Male,29.7,13.0511,12.1052,3.8764,0.6673
Belize,2005,Both sexes,24.3,10.3804,10.8214,2.2485,0.8497
Belize,2005,Female,21.1,8.7933,8.5869,2.8386,0.8812
Belize,2005,Male,27.6,11.2013,12.337,3.0927,0.969
Belize,2010,Both sexes,23.2,9.7894,9.7173,3.032,0.6613
Belize,2010,Female,20.0,8.2322,8.8996,2.3611,0.5071
Belize,2010,Male,26.0,10.7918,11.3719,3.0535,0.7828
Belize,2015,Both sexes,22.4,9.1433,9.144,3.1589,0.9538
Belize,2015,Female,18.8,8.3446,7.8889,1.7645,0.802
Belize,2015,Male,25.7,11.1348,10.9521,2.9872,0.6259
Belize,2020,Both sexes,22.1,9.8769,9.0403,2.9031,0.2797
Belize,2020,Female,18.5,7.5293,8.1356,2.5009,0.3342
Belize,2020,Male,25.5,11.1449,10.9325,2.309,1.1136
Belize,2025,Both sexes,22.5384,10.0407,9.261,2.9496,0.2871
Belize,2025,Female,18.9865,7.7322,8.3705,2.5447,0.3391
Belize,2025,Male,26.0269,11.3874,11.1537,2.3588,1.127
Benin,2000,Both sexes,20.0,8.1525,8.5763,2.5858,0.6854
Benin,2000,Female,19.3,8.6132,8.1551,2.2513,0.2804
Benin,2000,Male,20.8,8.7611,9.0859,1.9676,0.9854
Benin,2005,Both sexes,20.1,8.5484,8.6545,2.6815,0.2156
Benin,2005,Female,19.8,8.6097,8.8333,1.782,0.575
Benin,2005,Male,20.5,9.0939,9.1554,1.845,0.4057
Benin,2010,Both sexes,19.8,8.2622,8.0998,2.5205,0.9175
Benin,2010,Female,19.5,8.7236,7.9495,2.1746,0.6523
Benin,2010,Male,20.1,8.6263,8.4429,2.4584,0.5724
Benin,2015,Both sexes,19.7,8.6653,8.0277,2.6293,0.3777
Benin,2015,Female,19.4,8.4331,8.2864,2.291,0.3895
Benin,2015,Male,20.0,8.7223,8.72,1.8448,0.7129
Benin,2020,Both sexes,19.6,8.3985,8.5872,1.764,0.8503
Benin,2020,Female,19.3,8.5368,7.843,2.4204,0.4998
Benin,2020,Male,19.9,8.3004,8.7772,2.5354,0.287
Benin,2025,Both sexes,19.8963,8.5566,8.6803,1.8005,0.8589
Benin,2025,Female,19.6427,8.6349,8.0131,2.4888,0.5059
Benin,2025,Male,20.2365,8.3864,8.9533,2.6052,0.2916
Bhutan,2000,Both sexes,30.8,12.4514,13.8552,3.5667,0.9267
Bhutan,2000,Female,33.1,13.5874,14.7263,4.1837,0.6026
Bhutan,2000,Male,28.8,12.3774,11.6166,3.6541,1.1519
Bhutan,2005,Both sexes,27.8,11.6237,11.927,3.2682,0.9811
Bhutan,2005,Female,29.6,13.2624,12.06,3.4907,0.7869
Bhutan,2005,Male,26.3,10.5372,11.3926,3.9199,0.4503
Bhutan,2010,Both sexes,25.1,10.9656,10.6075,3.0504,0.4765
Bhutan,2010,Female,26.8,11.3878,11.2814,2.8821,1.2487
Bhutan,2010,Male,23.7,10.0161,9.6469,3.6327,0.4043
Bhutan,2015,Both sexes,23.7,9.8772,10.4314,3.15,0.2414
Bhutan,2015,Female,25.4,11.3282,10.5999,2.8654,0.6065
Bhutan,2015,Male,22.4,9.3335,9.4059,2.955,0.7056
Bhutan,2020,Both sexes,23.3,10.4673,10.2973,2.1862,0.3492
Bhutan,2020,Female,24.9,10.6961,10.4568,3.4436,0.3035
Bhutan,2020,Male,21.9,9.7683,9.7125,1.971,0.4482
Bhutan,2025,Both sexes,23.8443,10.6788,10.5898,2.2197,0.356
Bhutan,2025,Female,25.4604,10.9514,10.6813,3.5159,0.3118
Bhutan,2025,Male,22.3423,10.0554,9.8192,2.0089,0.4588
Bolivia (Plurinational State of),2000,Both sexes,23.0,10.1841,10.1548,2.07,0.5911
Bolivia (Plurinational State of),2000,Female,22.7,10.0973,9.0948,3.2033,0.3046
Bolivia (Plurinational State of),2000,Male,23.3,10.0983,9.5588,3.1367,0.5062
Bolivia (Plurinational State of),2005,Both sexes,20.8,8.3405,8.4283,3.1577,0.8735
Bolivia (Plurinational State of),2005,Female,20.4,8.2614,8.408,2.9372,0.7934
Bolivia (Plurinational State of),2005,Male,21.2,8.6693,9.1719,2.9449,0.4139
Bolivia (Plurinational State of),2010,Both sexes,18.8,7.9042,7.5439,3.0465,0.3054
Bolivia (Plurinational State of),2010,Female,18.5,7.6053,7.6137,2.5987,0.6823
Bolivia (Plurinational State of),2010,Male,19.1,8.3238,8.2693,2.2953,0.2116
Bolivia (Plurinational State of),2015,Both sexes,17.4,7.3087,7.4469,2.3624,0.282
Bolivia (Plurinational State of),2015,Female,17.0,7.1173,7.0301,2.2446,0.608
Bolivia (Plurinational State of),2015,Male,17.8,7.2819,7.887,1.7795,0.8516
Bolivia (Plurinational State of),2020,Both sexes,17.2,7.044,6.9114,2.7478,0.4968
Bolivia (Plurinational State of),2020,Female,16.8,7.1008,7.1605,2.0746,0.4641
Bolivia (Plurinational State of),2020,Male,17.7,7.5799,7.1382,2.2559,0.726
Bolivia (Plurinational State of),2025,Both sexes,17.5595,7.1244,7.0985,2.8274,0.5092
Bolivia (Plurinational State of),2025,Female,17.2132,7.2813,7.3576,2.1051,0.4692
Bolivia (Plurinational State of),2025,Male,17.9989,7.6844,7.2441,2.3235,0.7469
Bosnia and Herzegovina,2000,Both sexes,24.4,9.7824,10.8754,3.3832,0.359
Bosnia and Herzegovina,2000,Female,18.8,8.1323,8.3,2.0245,0.3432
Bosnia and Herzegovina,2000,Male,30.5,13.0792,12.6179,3.8218,0.9811
Bosnia and Herzegovina,2005,Both sexes,22.8,9.7375,9.8422,2.7572,0.4631
Bosnia and Herzegovina,2005,Female,17.2,7.3321,7.0276,2.4809,0.3594
Bosnia and Herzegovina,2005,Male,28.8,11.7207,12.7223,2.935,1.422
Bosnia and Herzegovina,2010,Both sexes,20.9,9.158,8.5064,2.3006,0.935
Bosnia and Herzegovina,2010,Female,15.7,6.6138,6.2976,2.4628,0.3258
Bosnia and Herzegovina,2010,Male,26.6,11.2883,11.8298,2.394,1.0879
Bosnia and Herzegovina,2015,Both sexes,18.2,7.6255,7.8172,2.3802,0.3771
Bosnia and Herzegovina,2015,Female,13.2,5.5678,5.4743,1.525,0.6329
Bosnia and Herzegovina,2015,Male,23.6,10.1765,9.9231,2.7433,0.7571
Bosnia and Herzegovina,2020,Both sexes,17.8,7.305,7.1436,3.0442,0.3072
Bosnia and Herzegovina,2020,Female,12.9,5.6873,5.3805,1.5694,0.2628
Bosnia and Herzegovina,2020,Male,23.1,9.9134,9.7267,2.404,1.0559
Bosnia and Herzegovina,2025,Both sexes,18.148,7.501,7.2178,3.1189,0.3103
Bosnia and Herzegovina,2025,Female,13.2044,5.8175,5.5347,1.5853,0.2669
