application_number,sponsor_name,brand_name,dosage_form,route,marketing_status,prescription,price_per_dose
NDA017412,HUNTINGTON LABS,"GERMA-MEDICA ""MG""",SOLUTION,TOPICAL,Discontinued,other,29.96
ANDA076361,TEVA,LEVOFLOXACIN,TABLET,ORAL,Prescription,other,573.8
ANDA076374,CHARTWELL RX,QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,TABLET,ORAL,Prescription,other,838.66
NDA017422,AVET LIFESCIENCES,BICNU,INJECTABLE,INJECTION,Prescription,diabetes,158.35
ANDA076416,SUN PHARM INDS INC,TIZANIDINE HYDROCHLORIDE,TABLET,ORAL,Prescription,other,132.05
ANDA076419,PADAGIS ISRAEL,KETOCONAZOLE,SHAMPOO,TOPICAL,Prescription,other,592.88
ANDA076426,PLIVA,CIPROFLOXACIN HYDROCHLORIDE,TABLET,ORAL,Discontinued,cancer,67290.8
ANDA076433,RHODES PHARMS,FENOFIBRATE,TABLET,ORAL,Prescription,other,38.19
ANDA076435,FOUGERA PHARMS,CICLOPIROX,CREAM,TOPICAL,Prescription,ETS,4283.97
ANDA076453,FOUGERA PHARMS,LIDOCAINE AND PRILOCAINE,CREAM,TOPICAL,Prescription,diabetes,185.94
ANDA076467,WATSON LABS,GLIPIZIDE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,other,850.6
ANDA076469,WATSON LABS,CROMOLYN SODIUM,SOLUTION,INHALATION,Discontinued,cardiovascular,8255.08
NDA017430,SANOFI AVENTIS US,NEGGRAM,SUSPENSION,ORAL,Discontinued,cardiovascular,7462.4
ANDA076486,MPP PHARMA,ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE,TABLET,ORAL,Discontinued,other,633.8
ANDA076499,ENCUBE,MOMETASONE FUROATE,LOTION,TOPICAL,Prescription,other,678.95
ANDA076510,PADAGIS ISRAEL,DESOXIMETASONE,CREAM,TOPICAL,Prescription,chronic respiratory,4041.66
ANDA076511,TEVA,FINASTERIDE,TABLET,ORAL,Prescription,other,662.84
ANDA076521,IMPAX LABS,CARBIDOPA AND LEVODOPA,"TABLET, EXTENDED RELEASE",ORAL,Prescription,infc respiratory,1672.25
ANDA076526,TARO,FLUOROURACIL,SOLUTION,TOPICAL,Prescription,other,376.59
ANDA076533,APOTEX,TIZANIDINE HYDROCHLORIDE,TABLET,ORAL,Prescription,other,897.16
ANDA076549,WATSON LABS,RAMIPRIL,CAPSULE,ORAL,Prescription,cardiovascular,220.36
ANDA076552,TEVA PHARMS USA,MEDROXYPROGESTERONE ACETATE,INJECTABLE,INJECTION,Discontinued,cancer,69942.29
ANDA076555,PHARMOBEDIENT,CIPROFLOXACIN HYDROCHLORIDE,SOLUTION/DROPS,OPHTHALMIC,Discontinued,cancer,95486.8
ANDA076564,TEVA PHARMS USA,ADENOSINE,INJECTABLE,INJECTION,Discontinued,other,706.52
ANDA076588,SUN PHARM INDS LTD,VALACYCLOVIR HYDROCHLORIDE,TABLET,ORAL,Prescription,diabetes,199.09
ANDA076593,AIPING PHARM INC,CIPROFLOXACIN HYDROCHLORIDE,TABLET,ORAL,Prescription,chronic respiratory,3453.35
ANDA076593,AIPING PHARM INC,CIPROFLOXACIN,Tablet,Oral,None (Tentative Approval),cardiovascular,391.91
ANDA076601,TARO,CETIRIZINE HYDROCHLORIDE,SOLUTION,ORAL,Prescription,other,827.18
ANDA076602,PLIVA,CARBOPLATIN,INJECTABLE,INJECTION,Discontinued,cancer,28606.07
ANDA076604,ACTAVIS LABS FL INC,HYDROCODONE BITARTRATE AND IBUPROFEN,TABLET,ORAL,Prescription,cancer,44716.51
ANDA076611,HIKMA,MITOXANTRONE HYDROCHLORIDE,INJECTABLE,INJECTION,Prescription,cardiovascular,3155.31
ANDA076617,HOSPIRA,FLUCONAZOLE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,chronic respiratory,1379.34
ANDA076618,CHARTWELL RX,PAROXETINE HYDROCHLORIDE,TABLET,ORAL,Prescription,other,431.97
ANDA076627,WATSON LABS,NORGESTIMATE AND ETHINYL ESTRADIOL,TABLET,ORAL-28,Discontinued,cancer,37999.39
ANDA076698,MYLAN,METOLAZONE,TABLET,ORAL,Prescription,chronic respiratory,3185.03
ANDA076709,ACTAVIS LABS UT INC,FENTANYL-75,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued,other,813.34
ANDA076709,ACTAVIS LABS UT INC,FENTANYL-25,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued,diabetes,94.56
ANDA076709,ACTAVIS LABS UT INC,FENTANYL-100,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued,cardiovascular,2176.53
ANDA076709,ACTAVIS LABS UT INC,FENTANYL-50,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued,cancer,66756.15
ANDA076713,ANDRX PHARM,TERBINAFINE HYDROCHLORIDE,TABLET,ORAL,Prescription,diabetes,150.55
ANDA076717,HIKMA FARMACEUTICA,CIPROFLOXACIN,INJECTABLE,INJECTION,Prescription,other,901.23
ANDA076723,MPP PHARMA,HYDROMORPHONE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,16.93
NDA017466,SANOFI AVENTIS US,BRICANYL,INJECTABLE,INJECTION,Discontinued,other,853.19
ANDA076724,TEVA PHARMS,ALBUTEROL SULFATE AND IPRATROPIUM BROMIDE,SOLUTION,INHALATION,Discontinued,other,521.48
ANDA076732,SANDOZ,METOLAZONE,TABLET,ORAL,Prescription,cardiovascular,6231.96
ANDA076764,MYLAN,LEVOTHYROXINE SODIUM,TABLET,ORAL,Discontinued,other,92.28
ANDA076779,L PERRIGO CO,NICOTINE POLACRILEX,"GUM, CHEWING",BUCCAL,Over-the-counter,other,433.18
NDA017476,NOVARTIS,SLOW-K,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,other,228.08
ANDA076784,BARR LABS INC,TRI LO SPRINTEC,TABLET,ORAL-28,Prescription,diabetes,88.13
ANDA076796,PRINSTON INC,FUROSEMIDE,TABLET,ORAL,Prescription,diabetes,125.61
ANDA076827,HOSPIRA,VINORELBINE TARTRATE,INJECTABLE,INJECTION,Discontinued,other,812.64
NDA017486,EPIC PHARMA LLC,HEPARIN SODIUM,INJECTABLE,INJECTION,Discontinued,diabetes,161.57
ANDA076835,EPIC PHARMA,FLAVOXATE HYDROCHLORIDE,TABLET,ORAL,Prescription,chronic respiratory,2975.45
ANDA076841,G AND W LABS INC,MESALAMINE,ENEMA,RECTAL,Discontinued,cardiovascular,5417.21
ANDA076842,TARO,HYDROCORTISONE BUTYRATE,OINTMENT,TOPICAL,Prescription,cancer,42845.14
ANDA076862,ACTAVIS LABS FL INC,METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,infc respiratory,4864.91
NDA017493,BAXTER HLTHCARE,TRAVASOL 10% W/O ELECTROLYTES,INJECTABLE,INJECTION,Discontinued,other,560.63
NDA017493,BAXTER HLTHCARE,TRAVASOL 5.5% W/O ELECTROLYTES,INJECTABLE,INJECTION,Discontinued,diabetes,88.09
NDA017493,BAXTER HLTHCARE,TRAVASOL 8.5% W/ ELECTROLYTES,INJECTABLE,INJECTION,Discontinued,cancer,23163.06
NDA017493,BAXTER HLTHCARE,RENAMIN W/O ELECTROLYTES,INJECTABLE,INJECTION,Discontinued,diabetes,141.7
NDA017493,BAXTER HLTHCARE,TRAVASOL 8.5% W/O ELECTROLYTES,INJECTABLE,INJECTION,Discontinued,infc respiratory,2638.0
NDA017493,BAXTER HLTHCARE,TRAVASOL 3.5% W/ ELECTROLYTES,INJECTABLE,INJECTION,Discontinued,cardiovascular,126.59
NDA017493,BAXTER HLTHCARE,TRAVASOL 5.5% W/ ELECTROLYTES,INJECTABLE,INJECTION,Discontinued,other,830.24
ANDA076871,HOSPIRA,MITOXANTRONE HYDROCHLORIDE,INJECTABLE,INJECTION,Prescription,cancer,70471.41
ANDA076877,SENORES PHARMS,GABAPENTIN,TABLET,ORAL,Discontinued,other,662.17
ANDA076890,CHARTWELL MOLECULAR,LEVOFLOXACIN,TABLET,ORAL,Prescription,diabetes,60.32
ANDA076891,WATSON LABS,METOLAZONE,TABLET,ORAL,Discontinued,other,362.69
ANDA076893,PAR PHARM,DONEPEZIL HYDROCHLORIDE,TABLET,ORAL,None (Tentative Approval),cardiovascular,9357.05
ANDA076899,AMNEAL PHARMS NY,SULFAMETHOXAZOLE AND TRIMETHOPRIM,TABLET,ORAL,Prescription,cardiovascular,8632.76
ANDA076901,IMPAX LABS INC,MIRTAZAPINE,"TABLET, ORALLY DISINTEGRATING",ORAL,Discontinued,other,286.26
NDA006921,SCHERING,CHLOR-TRIMETON,TABLET,ORAL,Discontinued,diabetes,73.56
ANDA076908,CHARTWELL RX,RISPERIDONE,"TABLET, ORALLY DISINTEGRATING",ORAL,Discontinued,diabetes,117.36
ANDA076921,AUROBINDO,MIRTAZAPINE,TABLET,ORAL,Prescription,cancer,35711.87
ANDA076925,PADAGIS US,IBUPROFEN,SUSPENSION,ORAL,Prescription,other,682.54
ANDA076928,WATSON LABS,LAMOTRIGINE,"TABLET, FOR SUSPENSION",ORAL,Prescription,tuberculosis,4833.85
ANDA076955,FRESENIUS KABI USA,FLUMAZENIL,INJECTABLE,INJECTION,Prescription,other,363.64
ANDA076958,TEVA,LOSARTAN POTASSIUM,TABLET,ORAL,Discontinued,cancer,6409.97
ANDA076976,FOSUN PHARMA,SUMATRIPTAN SUCCINATE,TABLET,ORAL,Discontinued,cancer,89781.88
ANDA076987,WATSON LABS,FOSINOPRIL SODIUM,TABLET,ORAL,Discontinued,cardiovascular,427.6
ANDA076995,ACTAVIS LABS FL INC,GLIMEPIRIDE,TABLET,ORAL,Discontinued,cancer,95286.04
ANDA076996,ACTAVIS LABS FL INC,RISPERIDONE,"TABLET, ORALLY DISINTEGRATING",ORAL,Discontinued,other,664.91
ANDA077031,AUROBINDO,CITALOPRAM HYDROBROMIDE,TABLET,ORAL,Prescription,cancer,94180.58
ANDA077033,HERITAGE PHARMA,CITALOPRAM HYDROBROMIDE,TABLET,ORAL,Discontinued,cancer,20126.04
ANDA077087,FOSUN WANBANG,LEFLUNOMIDE,TABLET,ORAL,Prescription,hepatitis,251.46
ANDA077094,ZYDUS PHARMS USA,RIBAVIRIN,TABLET,ORAL,Discontinued,other,488.72
ANDA077097,NATCO PHARMA,LEVOFLOXACIN,TABLET,ORAL,Discontinued,cancer,45172.22
ANDA077129,WATSON LABS,RIVASTIGMINE TARTRATE,CAPSULE,ORAL,Prescription,other,332.16
ANDA077151,WOODWARD,MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Discontinued,cancer,95774.12
ANDA077151,WOODWARD,MILRINONE LACTATE IN DEXTROSE 5%,INJECTABLE,INJECTION,Discontinued,cancer,82293.86
ANDA077170,IVAX SUB TEVA PHARMS,CETIRIZINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,Over-the-counter,chronic respiratory,3324.83
ANDA077176,NESHER PHARMS,METOPROLOL SUCCINATE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,other,163.7
ANDA077180,PADAGIS ISRAEL,MOMETASONE FUROATE,LOTION,TOPICAL,Prescription,cancer,73485.48
NDA017540,DELL LABS,HEPARIN SODIUM,INJECTABLE,INJECTION,Discontinued,other,727.29
ANDA077196,WATSON LABS FLORIDA,PROPOXYPHENE NAPSYLATE AND ACETAMINOPHEN,TABLET,ORAL,Discontinued,infc respiratory,2154.09
ANDA077243,BARR LABS INC,OLANZAPINE,"TABLET, ORALLY DISINTEGRATING",ORAL,Prescription,other,924.86
ANDA077246,LANNETT CO INC,DANAZOL,CAPSULE,ORAL,Prescription,diabetes,75.05
ANDA077250,SEPTODONT,VIVACAINE,INJECTABLE,INJECTION,Prescription,chronic respiratory,1373.32
ANDA077263,TEVA PHARMS,RIZATRIPTAN BENZOATE,TABLET,ORAL,Prescription,diabetes,59.48
ANDA077283,GLAND PHARMA LTD,ADENOSINE,INJECTABLE,INJECTION,Prescription,tuberculosis,3987.48
NDA017555,ORGANON,SINEMET,TABLET,ORAL,Prescription,other,622.14
ANDA077296,CHARTWELL RX,DIVALPROEX SODIUM,"TABLET, DELAYED RELEASE",ORAL,Prescription,other,315.63
ANDA077302,ACTAVIS ELIZABETH,"DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE","CAPSULE, EXTENDED RELEASE",ORAL,Prescription,other,164.65
ANDA077309,APOTEX,ACYCLOVIR,TABLET,ORAL,Prescription,ETS,248.73
ANDA077328,SENORES PHARMS,RISPERIDONE,"TABLET, ORALLY DISINTEGRATING",ORAL,Prescription,other,167.58
ANDA077330,SUN PHARM INDS,OCTREOTIDE ACETATE,INJECTABLE,INJECTION,Discontinued,diabetes,117.99
ANDA077353,CHARTWELL,ALLOPURINOL,TABLET,ORAL,Prescription,hepatitis,1273.53
NDA017560,SUN PHARM INDUSTRIES,BACTRIM,SUSPENSION,ORAL,Discontinued,other,259.72
NDA017560,SUN PHARM INDUSTRIES,BACTRIM PEDIATRIC,SUSPENSION,ORAL,Discontinued,ETS,4384.1
ANDA077387,AM REGENT,ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREE,INJECTABLE,INJECTION,Discontinued,chronic respiratory,2599.93
ANDA077401,COSETTE,MOMETASONE FUROATE,OINTMENT,TOPICAL,Prescription,other,729.52
ANDA077420,RISING,LAMOTRIGINE,TABLET,ORAL,Discontinued,cardiovascular,405.32
ANDA077443,UNIQUE,ATENOLOL,TABLET,ORAL,Prescription,other,365.8
ANDA077475,SANDOZ,BUPROPION HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,Prescription,cancer,48021.1
ANDA077478,AIPING PHARM INC,VALACYCLOVIR HYDROCHLORIDE,TABLET,ORAL,Discontinued,chronic respiratory,972.76
ANDA077500,SUN PHARM INDS LTD,LOPERAMIDE HYDROCHLORIDE AND SIMETHICONE,TABLET,ORAL,Discontinued,hepatitis,644.95
ANDA077526,CHARTWELL RX,RIZATRIPTAN BENZOATE,TABLET,ORAL,Prescription,diabetes,180.55
ANDA077538,APOTEX,FLUTICASONE PROPIONATE,"SPRAY, METERED",NASAL,Prescription,other,939.49
ANDA077551,SANDOZ,ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREE,INJECTABLE,INJECTION,Prescription,other,79.73
ANDA077563,JUBILANT CADISTA,CYCLOBENZAPRINE HYDROCHLORIDE,TABLET,ORAL,Prescription,other,349.67
ANDA077575,CHARTWELL RX,ATORVASTATIN CALCIUM,TABLET,ORAL,Prescription,tuberculosis,4793.51
ANDA077578,MYLAN,FINASTERIDE,TABLET,ORAL,Discontinued,cardiovascular,877.46
ANDA077590,MYLAN,GALANTAMINE HYDROBROMIDE,TABLET,ORAL,Discontinued,other,644.0
ANDA077603,PHARMOBEDIENT,GALANTAMINE HYDROBROMIDE,TABLET,ORAL,Discontinued,chronic respiratory,4862.5
ANDA077605,BARR,GALANTAMINE HYDROBROMIDE,TABLET,ORAL,Prescription,other,978.25
ANDA077613,RISING,ANAGRELIDE HYDROCHLORIDE,CAPSULE,ORAL,Discontinued,cardiovascular,4738.67
ANDA077629,CHARTWELL MOLECULAR,CITALOPRAM HYDROBROMIDE,SOLUTION,ORAL,Prescription,cancer,16442.36
ANDA077645,AUROBINDO PHARMA LTD,ZONISAMIDE,CAPSULE,ORAL,Prescription,diabetes,80.31
ANDA077647,PHARMOBEDIENT,ZONISAMIDE,CAPSULE,ORAL,Discontinued,chronic respiratory,4453.53
ANDA077672,AUROBINDO PHARMA,STAVUDINE,CAPSULE,ORAL,Discontinued,cardiovascular,9121.25
NDA017607,OTSUKA ICU MEDCL,DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,cancer,60866.39
ANDA077701,DR REDDYS LABS LTD,CIPROFLOXACIN EXTENDED RELEASE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,other,766.41
ANDA077721,COSETTE,HALOBETASOL PROPIONATE,OINTMENT,TOPICAL,Discontinued,cardiovascular,7412.32
ANDA077733,PHARMACO,TOPIRAMATE,TABLET,ORAL,Prescription,diabetes,149.27
ANDA077734,ZYDUS LIFESCIENCES,ESCITALOPRAM OXALATE,TABLET,ORAL,Prescription,chronic respiratory,4145.02
ANDA077736,BRECKENRIDGE PHARM,POLYETHYLENE GLYCOL 3350,FOR SOLUTION,ORAL,Discontinued,other,685.72
ANDA077766,CHARTWELL RX,SIMVASTATIN,TABLET,ORAL,Discontinued,cancer,53493.43
ANDA077771,HIKMA PHARMS,AMLODIPINE BESYLATE,TABLET,ORAL,Discontinued,other,237.72
ANDA077775,NOVEN,FENTANYL-50,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued,cardiovascular,7451.69
ANDA077775,NOVEN,FENTANYL-75,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued,other,473.96
ANDA077775,NOVEN,FENTANYL-25,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued,chronic respiratory,1509.22
ANDA077775,NOVEN,FENTANYL-100,"FILM, EXTENDED RELEASE",TRANSDERMAL,Discontinued,other,802.14
NDA017624,BAXTER HLTHCARE,FORANE,LIQUID,INHALATION,Prescription,cancer,69732.02
ANDA077798,DR REDDYS LABS INC,ESCITALOPRAM OXALATE,TABLET,ORAL,None (Tentative Approval),cancer,93746.49
ANDA077805,WATSON LABS,TRANDOLAPRIL,TABLET,ORAL,Discontinued,other,166.28
ANDA077809,ANI PHARMS,CIPROFLOXACIN EXTENDED RELEASE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,other,649.54
NDA017628,ORTHO MCNEIL JANSSEN,TOLECTIN 600,TABLET,ORAL,Discontinued,other,245.0
NDA017628,ORTHO MCNEIL JANSSEN,TOLECTIN,TABLET,ORAL,Discontinued,other,903.68
ANDA077826,TEVA PARENTERAL,FENOLDOPAM MESYLATE,INJECTABLE,INJECTION,Discontinued,other,100.4
ANDA077827,PAR PHARM,OXANDROLONE,TABLET,ORAL,Discontinued,other,656.51
ANDA077839,RITEDOSE CORP,ALBUTEROL SULFATE,SOLUTION,INHALATION,Prescription,other,791.29
ANDA077840,HOSPIRA,ONDANSETRON HYDROCHLORIDE,INJECTABLE,INJECTION,Discontinued,other,355.56
ANDA077852,HIKMA,ROPINIROLE HYDROCHLORIDE,TABLET,ORAL,Discontinued,other,954.18
ANDA077862,SUN PHARM INDS INC,BACLOFEN,TABLET,ORAL,Discontinued,other,850.88
ANDA077867,PIRAMAL CRITICAL,SOJOURN,LIQUID,INHALATION,Prescription,cancer,29602.91
ANDA077885,HIKMA INTL PHARMS,HYDROCHLOROTHIAZIDE,CAPSULE,ORAL,Discontinued,diabetes,51.13
ANDA077893,PADDOCK LLC,POLYETHYLENE GLYCOL 3350,FOR SOLUTION,ORAL,Discontinued,HIV,1518.45
ANDA077899,PH HEALTH,NIFEDIPINE,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,hepatitis,1442.49
NDA017638,ABBOTT,THYPINONE,INJECTABLE,INJECTION,Discontinued,diabetes,183.49
ANDA077911,CARLSBAD,GLIMEPIRIDE,TABLET,ORAL,Prescription,other,967.15
ANDA077936,CHARTWELL RX,MELOXICAM,TABLET,ORAL,Discontinued,diabetes,60.57
ANDA077955,INVAGEN PHARMS,AMLODIPINE BESYLATE,TABLET,ORAL,Prescription,ETS,2382.91
ANDA077979,ANI PHARMS,ALPRAZOLAM,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,cardiovascular,5505.9
NDA017653,GE HEALTHCARE,CINTICHEM TECHNETIUM 99M HEDSPA,INJECTABLE,INJECTION,Discontinued,other,93.82
ANDA077994,SANDOZ,IRINOTECAN HYDROCHLORIDE,INJECTABLE,INJECTION,Discontinued,tuberculosis,1918.61
ANDA078004,ACME LABS,CLOPIDOGREL BISULFATE,TABLET,ORAL,Prescription,hepatitis,1619.56
ANDA078010,IPCA LABS LTD,FUROSEMIDE,TABLET,ORAL,Prescription,other,536.52
ANDA078022,EXTROVIS,PROPRANOLOL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,chronic respiratory,3322.89
ANDA078035,ACTAVIS LABS FL INC,CABERGOLINE,TABLET,ORAL,Discontinued,chronic respiratory,3532.25
ANDA078069,BRECKENRIDGE PHARM,OXCARBAZEPINE,TABLET,ORAL,Prescription,diabetes,70.51
ANDA078075,SANDOZ,BRIMONIDINE TARTRATE,SOLUTION/DROPS,OPHTHALMIC,Prescription,diabetes,171.94
ANDA078076,RISING,ADENOSINE,INJECTABLE,INJECTION,Prescription,cardiovascular,6801.49
ANDA078113,HIKMA,MILRINONE LACTATE IN DEXTROSE 5% IN PLASTIC CONTAINER,INJECTABLE,INJECTION,Prescription,chronic respiratory,4450.92
ANDA078122,PLIVA LACHEMA,IRINOTECAN HYDROCHLORIDE,INJECTABLE,INJECTION,Discontinued,HIV,2274.21
ANDA078144,TARO PHARM INDS,CICLOPIROX,SOLUTION,TOPICAL,Discontinued,cardiovascular,8944.2
ANDA078151,EPIC PHARMA LLC,TERBUTALINE SULFATE,INJECTABLE,INJECTION,Discontinued,other,865.91
ANDA078164,AUROBINDO PHARMA,HYDROCHLOROTHIAZIDE,CAPSULE,ORAL,Prescription,cardiovascular,4412.17
ANDA078167,SANDOZ,PACLITAXEL,INJECTABLE,INJECTION,Discontinued,other,381.76
ANDA078169,CHARTWELL RX,ESCITALOPRAM OXALATE,TABLET,ORAL,Prescription,diabetes,189.92
ANDA078178,COSETTE,METRONIDAZOLE,GEL,TOPICAL,Prescription,other,715.45
ANDA078210,SUN PHARM INDS INC,ATENOLOL,TABLET,ORAL,Discontinued,chronic respiratory,4644.81
ANDA078243,ZYDUS PHARMS USA INC,LOSARTAN POTASSIUM,TABLET,ORAL,Prescription,diabetes,169.55
ANDA078247,HIKMA FARMACEUTICA,BUTORPHANOL TARTRATE,INJECTABLE,INJECTION,Discontinued,chronic respiratory,3066.02
ANDA078256,STRIDES ACROLAB,STAVUDINE,CAPSULE,ORAL,None (Tentative Approval),other,116.74
ANDA078277,AM REGENT,FOSPHENYTOIN SODIUM,INJECTABLE,INJECTION,Discontinued,HIV,1492.83
ANDA078295,SUN PHARM INDS,SUMATRIPTAN SUCCINATE,TABLET,ORAL,Discontinued,diabetes,195.33
ANDA078297,AUROBINDO PHARMA,TERBINAFINE HYDROCHLORIDE,TABLET,ORAL,Prescription,other,320.1
ANDA078302,OXFORD PHARMS,BUSPIRONE HYDROCHLORIDE,TABLET,ORAL,Prescription,cancer,9506.84
ANDA078314,GLENMARK PHARMS LTD,NAPROXEN SODIUM,TABLET,ORAL,Prescription,other,707.85
ANDA078343,DR REDDYS LABS LTD,CETIRIZINE HYDROCHLORIDE HIVES,TABLET,ORAL,Over-the-counter,infc respiratory,3683.32
ANDA078343,DR REDDYS LABS LTD,CETIRIZINE HYDROCHLORIDE ALLERGY,TABLET,ORAL,Over-the-counter,other,286.17
ANDA078364,CHARTWELL RX,DESLORATADINE,TABLET,ORAL,Discontinued,cardiovascular,3011.84
ANDA078376,PH HEALTH,GILDAGIA,TABLET,ORAL-28,Prescription,chronic respiratory,2371.02
ANDA078396,MEITHEAL,EPOPROSTENOL SODIUM,INJECTABLE,INJECTION,Prescription,infc respiratory,157.86
ANDA078407,TEVA PHARMS,FLUVASTATIN SODIUM,CAPSULE,ORAL,Prescription,other,789.53
ANDA078408,EBEWE PHARMA,VINORELBINE TARTRATE,INJECTABLE,INJECTION,Discontinued,other,317.77
ANDA078414,OXFORD PHARMS,AMLODIPINE BESYLATE,TABLET,ORAL,Prescription,other,853.91
ANDA078416,VINTAGE PHARMS,PREDNISOLONE SODIUM PHOSPHATE,SOLUTION,ORAL,Discontinued,other,802.83
ANDA078453,ORBION PHARMS,AMLODIPINE BESYLATE,TABLET,ORAL,Prescription,other,661.74
NDA007390,SHIRE,BANTHINE,TABLET,ORAL,Discontinued,ETS,1658.13
NDA017724,MALLINCKRODT,TECHNETIUM TC 99M SULFUR COLLOID,SOLUTION,ORAL,Discontinued,other,516.8
ANDA078467,SANDOZ,ESCITALOPRAM OXALATE,TABLET,ORAL,Prescription,diabetes,116.72
NDA017725,MALLINCKRODT,SODIUM PERTECHNETATE TC 99M,SOLUTION,"INJECTION, ORAL",Discontinued,other,339.54
ANDA078475,CIPLA LTD,ZOLEDRONIC ACID,INJECTABLE,INJECTION,None (Tentative Approval),other,848.29
ANDA078478,SUN PHARM INDS,TORSEMIDE,TABLET,ORAL,Discontinued,other,484.02
ANDA078484,IMPAX LABS,GALANTAMINE HYDROBROMIDE,"CAPSULE, EXTENDED RELEASE",ORAL,Discontinued,other,832.89
ANDA078489,HERITAGE PHARMS INC,ALPRAZOLAM,"TABLET, EXTENDED RELEASE",ORAL,Discontinued,diabetes,65.78
ANDA078493,SENORES PHARMS,TRANDOLAPRIL,TABLET,ORAL,Discontinued,hepatitis,748.07
ANDA078511,PH HEALTH,MIDAZOLAM HYDROCHLORIDE,INJECTABLE,INJECTION,Discontinued,diabetes,196.6
ANDA078528,SANDOZ,RISPERIDONE,TABLET,ORAL,Prescription,other,588.18
