location,period,sex,inc_resp,inc_HIV,inc_ETS,inc_hep,inc_tub,total_inc
Bahrain,2005,Male,4.2067,0.1182,1.01,0.1504,0.1784,9.1751
Bahrain,2005,Female,5.7938,0.0825,2.5662,0.0754,0.1798,12.4378
Bahrain,2000,Both sexes,5.8012,0.0587,1.8942,0.0965,0.1924,11.8955
Bahrain,2000,Male,5.2146,0.062,0.6365,0.2442,0.1762,10.1935
Bahrain,2000,Female,2.5417,0.0102,2.9296,0.1535,0.0204,7.5434
Bangladesh,2020,Both sexes,22.2001,5.1972,7.6135,3.0638,2.2111,59.0299
Bangladesh,2020,Male,13.4533,10.0504,5.6179,2.014,4.1834,72.837
Bangladesh,2020,Female,11.1708,14.6387,7.2247,4.7621,2.1481,97.249
Bangladesh,2015,Both sexes,8.6932,12.8589,10.7207,4.6238,3.207,88.1548
Bangladesh,2015,Male,18.0452,1.3303,5.7441,3.2672,3.2284,54.0165
Bangladesh,2015,Female,19.5186,13.5798,4.7341,2.4177,2.1426,60.3856
Bangladesh,2010,Both sexes,8.282,11.9648,4.1616,2.5246,4.5701,72.7408
Bangladesh,2010,Male,16.7056,11.9253,5.6807,2.6474,2.7645,80.9715
Bangladesh,2010,Female,11.8504,7.4119,10.0204,3.9103,2.5915,81.1309
Bangladesh,2005,Both sexes,18.9679,6.5721,7.2446,2.8066,4.9888,66.4856
Bangladesh,2005,Male,10.9642,5.2408,5.0473,4.4269,2.7208,63.6105
Bangladesh,2005,Female,19.7459,1.9197,4.4957,4.7764,1.3028,78.697
Bangladesh,2000,Both sexes,14.5745,4.1953,5.9946,2.3438,2.8088,52.0541
Bangladesh,2000,Male,23.9244,4.4525,11.4593,3.2428,4.1631,70.67
Bangladesh,2000,Female,10.3379,7.7771,6.0872,1.3802,3.9959,64.3255
Barbados,2020,Both sexes,8.4107,0.7727,5.9406,0.6408,0.8097,25.3319
Barbados,2020,Male,6.1347,0.5264,3.4262,1.0029,0.7372,30.6199
Barbados,2020,Female,14.2469,0.1521,1.8958,0.6505,0.3288,25.1226
Barbados,2015,Both sexes,13.7734,0.962,5.4557,1.7902,0.8759,33.8528
Barbados,2015,Male,7.5794,0.9485,3.3018,0.5691,0.9041,30.565
Barbados,2015,Female,11.5998,0.8067,4.5484,1.0746,0.2747,23.8803
Barbados,2010,Both sexes,13.1722,0.9922,5.9186,1.3297,0.2174,36.6518
Barbados,2010,Male,10.552,0.59,1.2509,1.4762,0.978,20.0577
Barbados,2010,Female,10.2965,0.9665,1.4835,0.9512,0.8815,33.5017
Barbados,2005,Both sexes,7.4185,0.168,4.6023,1.7775,0.9039,21.5832
Barbados,2005,Male,5.931,0.4291,2.4091,1.2661,0.8977,18.2111
Barbados,2005,Female,13.9722,0.3028,1.9215,1.0472,0.5875,31.9606
Barbados,2000,Both sexes,14.0042,0.2762,1.1968,0.4143,0.6818,34.2821
Barbados,2000,Male,11.331,0.2267,1.1092,1.09,0.5908,25.8933
Barbados,2000,Female,8.3903,0.6602,4.8724,1.6953,0.1461,27.7451
Belarus,2020,Both sexes,8.4921,0.8032,1.6722,1.3447,0.771,30.628
Belarus,2020,Male,12.2596,0.6205,3.3386,1.7147,0.5548,31.1329
Belarus,2020,Female,13.9711,0.2323,4.0295,1.1398,0.6829,31.9656
Belarus,2015,Both sexes,13.8709,0.83,3.1418,0.5014,0.5524,28.3011
Belarus,2015,Male,12.7988,0.6724,1.1355,0.3232,0.5426,25.9088
Belarus,2015,Female,11.4203,0.4493,4.9175,0.8155,0.2546,27.7756
Belarus,2010,Both sexes,5.8414,0.7067,1.0526,1.4866,0.3508,22.9707
Belarus,2010,Male,6.6163,0.3339,4.8094,1.6434,0.243,30.3755
Belarus,2010,Female,13.9855,0.4107,5.4665,0.8028,0.2761,36.7711
Belarus,2005,Both sexes,11.0643,0.9257,3.1642,1.1426,0.9757,32.4523
Belarus,2005,Male,5.092,0.3615,3.6777,1.0159,0.2378,29.3127
Belarus,2005,Female,6.0147,0.523,3.3849,0.9979,0.3423,29.2695
Belarus,2000,Both sexes,11.635,0.9011,2.946,0.6933,0.6315,35.6786
Belarus,2000,Male,5.0506,0.7369,5.4371,0.5318,0.6492,18.0363
Belarus,2000,Female,6.6081,0.156,5.4697,0.6344,0.2386,24.0141
Belgium,2020,Both sexes,5.2924,0.0306,1.3395,0.0749,0.1629,10.2342
Belgium,2020,Male,6.1514,0.0111,2.0377,0.1392,0.1613,11.3482
Belgium,2020,Female,5.9118,0.0983,2.8173,0.0541,0.0627,12.6616
Belgium,2015,Both sexes,3.3456,0.0727,2.9051,0.3323,0.072,11.6774
Belgium,2015,Male,6.2731,0.0288,1.7724,0.1924,0.1888,10.0697
Belgium,2015,Female,3.4235,0.1441,1.6321,0.4879,0.1686,8.189
Belgium,2010,Both sexes,3.9524,0.0842,1.1967,0.1372,0.1456,10.3286
Belgium,2010,Male,6.4789,0.0439,2.8972,0.2056,0.0348,12.3678
Belgium,2010,Female,5.8978,0.0801,0.857,0.211,0.0953,9.8095
Belgium,2005,Both sexes,7.0953,0.1051,1.9496,0.0538,0.1207,13.8093
Belgium,2005,Male,5.9457,0.0207,1.2064,0.4276,0.0537,8.821
Belgium,2005,Female,5.4099,0.0485,1.1975,0.0644,0.1007,8.2991
Belgium,2000,Both sexes,2.562,0.123,1.5124,0.4731,0.1282,6.3055
Belgium,2000,Male,4.2063,0.0744,2.997,0.4514,0.0789,12.766
Belgium,2000,Female,3.5912,0.0865,0.6374,0.291,0.1606,6.1242
Belize,2020,Both sexes,7.4399,0.4895,3.8927,1.2241,0.8564,24.9397
Belize,2020,Male,14.7301,0.1395,1.4129,1.4114,0.3912,36.4521
Belize,2020,Female,8.931,0.2492,1.7726,0.958,0.8548,23.5292
Belize,2015,Both sexes,13.9205,0.501,3.1978,1.4003,0.1932,24.5699
Belize,2015,Male,11.3114,0.2883,3.5523,0.3761,0.854,27.6731
Belize,2015,Female,12.9481,0.145,2.294,0.3919,0.2375,22.2735
Belize,2010,Both sexes,10.0264,0.8593,2.5823,1.0773,0.1746,28.5856
Belize,2010,Male,10.769,0.9831,1.4348,1.2344,0.6776,27.1129
Belize,2010,Female,9.9252,0.8138,2.5161,1.8093,0.5247,25.9347
Belize,2005,Both sexes,6.9524,0.8684,5.8328,0.4779,0.9171,32.7867
Belize,2005,Male,12.2245,0.3178,5.7235,1.6985,0.4269,39.0465
Belize,2005,Female,7.8077,0.9646,2.6744,0.6571,0.3584,24.8926
Belize,2000,Both sexes,5.2432,0.2772,3.8543,0.9699,0.5507,22.6085
Belize,2000,Male,11.4547,0.9563,5.548,0.8382,0.5104,38.0702
Belize,2000,Female,6.7711,0.9953,1.0309,0.9803,0.41,28.3653
Benin,2020,Both sexes,23.9878,10.9641,10.2962,1.602,3.6218,103.5722
Benin,2020,Male,24.2168,14.736,11.5353,3.0143,3.918,101.4215
Benin,2020,Female,23.5527,8.9736,3.8219,4.2066,4.3384,83.8256
Benin,2015,Both sexes,14.2927,4.6336,4.453,2.7661,4.8779,89.4422
Benin,2015,Male,8.2628,7.1179,11.6467,2.9625,1.7,59.8401
Benin,2015,Female,23.7814,9.3099,7.8379,4.3951,3.7224,77.8193
Benin,2010,Both sexes,15.2791,2.0231,3.1278,3.8242,2.2742,46.0928
Benin,2010,Male,24.4331,9.7128,5.3187,2.9618,3.5469,79.119
Benin,2010,Female,24.3815,14.7365,7.0495,2.0308,2.6419,89.1673
Benin,2005,Both sexes,22.5012,3.6615,9.2362,4.5397,4.972,64.5874
Benin,2005,Male,13.0056,12.0963,9.5984,3.3081,3.7801,71.8428
Benin,2005,Female,14.5467,13.7106,11.9588,1.8846,4.7862,80.8963
Benin,2000,Both sexes,22.4693,14.2118,5.5876,2.0765,4.2574,108.1249
Benin,2000,Male,13.3877,14.4419,7.844,4.2125,4.5631,103.4185
Benin,2000,Female,10.8814,8.3004,7.7999,1.1766,4.1649,52.5289
Bhutan,2020,Both sexes,10.568,0.9796,3.0282,1.9866,0.5132,28.2502
Bhutan,2020,Male,14.3615,0.7816,1.8458,0.5216,0.3266,34.6222
Bhutan,2020,Female,11.9603,0.2455,5.8873,1.6533,0.4333,34.3936
Bhutan,2015,Both sexes,10.7006,0.5292,5.2666,0.9711,0.1182,33.1681
Bhutan,2015,Male,5.9718,0.7465,3.4917,1.1368,0.5716,29.7859
Bhutan,2015,Female,11.1501,0.3226,4.0162,1.7971,0.5546,28.1826
Bhutan,2010,Both sexes,14.9005,0.6766,2.1363,1.0019,0.5727,34.7927
Bhutan,2010,Male,6.4008,0.6999,3.7189,1.2137,0.9766,27.6059
Bhutan,2010,Female,10.1833,0.2464,4.4749,0.3838,0.9203,22.1948
Bhutan,2005,Both sexes,13.7737,0.6086,3.5758,0.304,0.2455,33.4788
Bhutan,2005,Male,12.4077,0.7945,5.9514,0.7162,0.432,26.0666
Bhutan,2005,Female,11.9702,0.549,4.0567,1.457,0.4816,26.9606
Bhutan,2000,Both sexes,12.0248,0.1109,2.8549,0.5062,0.4245,22.5762
Bhutan,2000,Male,8.5949,0.1081,4.8608,0.4934,0.8186,23.3527
Bhutan,2000,Female,7.9359,0.4213,1.8523,0.9986,0.5716,31.0414
Bolivia (Plurinational State of),2020,Both sexes,13.0936,0.9336,2.9226,1.4013,0.6149,36.8764
Bolivia (Plurinational State of),2020,Male,13.1011,0.3058,2.7348,1.5105,0.8677,27.9124
Bolivia (Plurinational State of),2020,Female,13.6707,0.6709,3.159,0.6034,0.8253,38.2315
Bolivia (Plurinational State of),2015,Both sexes,14.1324,0.2999,4.9089,0.4353,0.219,26.8157
Bolivia (Plurinational State of),2015,Male,10.1134,0.3895,3.4209,1.8987,0.7425,24.2731
Bolivia (Plurinational State of),2015,Female,10.0152,0.8632,4.9701,0.7431,0.4919,28.9028
Bolivia (Plurinational State of),2010,Both sexes,12.983,0.756,3.8824,1.7507,0.3652,25.5588
Bolivia (Plurinational State of),2010,Male,11.4996,0.1859,2.7103,1.7679,0.145,27.4724
Bolivia (Plurinational State of),2010,Female,12.0197,0.4858,5.0499,1.6133,0.5385,33.2562
Bolivia (Plurinational State of),2005,Both sexes,12.9579,0.1263,2.1914,0.587,0.4199,32.9626
Bolivia (Plurinational State of),2005,Male,13.9001,0.5328,2.1219,1.6971,0.3264,35.053
Bolivia (Plurinational State of),2005,Female,8.38,0.6962,3.5225,1.6077,0.7252,34.9221
Bolivia (Plurinational State of),2000,Both sexes,8.7558,0.2067,2.3042,1.3144,0.7925,26.3083
Bolivia (Plurinational State of),2000,Male,5.9398,0.36,1.0454,0.8732,0.3203,26.0132
Bolivia (Plurinational State of),2000,Female,10.7828,0.4581,4.2415,0.7463,0.1445,32.2221
Bosnia and Herzegovina,2020,Both sexes,5.3594,0.9276,3.5555,0.5072,0.8639,27.7457
Bosnia and Herzegovina,2020,Male,9.656,0.9939,3.2276,1.1666,0.109,24.5531
Bosnia and Herzegovina,2020,Female,10.4264,0.1404,5.8348,1.2949,0.9434,32.1343
Bosnia and Herzegovina,2015,Both sexes,7.8654,0.7849,3.856,0.9109,0.6649,31.2066
Bosnia and Herzegovina,2015,Male,10.9083,0.4346,5.3172,1.1081,0.3897,31.3362
Bosnia and Herzegovina,2015,Female,5.305,0.4532,1.6973,0.918,0.3218,26.5211
Bosnia and Herzegovina,2010,Both sexes,5.3735,0.7788,3.846,1.3897,0.1081,24.0574
Bosnia and Herzegovina,2010,Male,13.226,0.9266,5.3399,1.8321,0.3119,30.4139
Bosnia and Herzegovina,2010,Female,8.6019,0.9558,3.9155,0.5787,0.224,20.9484
Bosnia and Herzegovina,2005,Both sexes,6.2706,0.6194,4.5901,0.9484,0.6509,21.9452
Bosnia and Herzegovina,2005,Male,10.2224,0.4214,2.8602,0.5395,0.2499,28.5637
Bosnia and Herzegovina,2005,Female,12.6999,0.8088,1.4622,1.3624,0.5758,28.8151
Bosnia and Herzegovina,2000,Both sexes,7.1582,0.3259,3.2895,1.5391,0.6311,29.0522
Bosnia and Herzegovina,2000,Male,11.2289,0.6077,2.9724,1.8843,0.3682,27.7152
Bosnia and Herzegovina,2000,Female,5.8535,0.4227,5.3353,0.7741,0.1316,29.0727
Botswana,2020,Both sexes,8.8786,10.1928,5.196,4.8008,0.6676,59.1791
Botswana,2020,Male,17.033,4.3656,11.7006,1.2531,0.6186,93.9089
Botswana,2020,Female,17.1908,3.6823,11.6232,3.4121,3.8261,68.1791
Botswana,2015,Both sexes,18.8363,13.8553,5.2287,1.2285,1.931,94.9513
Botswana,2015,Male,20.3436,2.4253,6.1325,4.5751,4.0834,71.9015
Botswana,2015,Female,24.5895,8.0834,11.06,3.1192,2.4428,75.3172
Botswana,2010,Both sexes,16.7771,4.0919,11.6996,3.6774,2.5385,96.8885
Botswana,2010,Male,13.4903,1.545,6.991,4.3263,2.808,61.7853
Botswana,2010,Female,21.5182,1.5043,5.889,1.6012,3.7086,81.6122
Botswana,2005,Both sexes,12.6041,3.4531,7.7348,1.1544,1.7308,49.1449
Botswana,2005,Male,15.4625,13.1348,9.1899,4.5155,1.0471,101.7379
Botswana,2005,Female,9.3338,4.9547,5.4613,2.2597,3.0023,46.2511
Botswana,2000,Both sexes,8.431,14.3064,9.6283,1.5159,1.9714,90.2466
Botswana,2000,Male,24.365,9.1427,3.4649,2.8738,2.4912,58.0016
Botswana,2000,Female,22.2117,7.1126,3.4437,3.3932,3.4113,68.8318
Brazil,2020,Both sexes,11.9597,0.6221,2.9314,0.3527,0.5447,28.5507
Brazil,2020,Male,9.0895,0.565,2.7674,0.7673,0.6583,29.5978
Brazil,2020,Female,6.7329,0.7829,2.5782,0.3558,0.5898,26.5081
Brazil,2015,Both sexes,6.5644,0.3542,3.4551,1.0146,0.7658,21.3102
Brazil,2015,Male,7.5024,0.4177,2.6037,1.8217,0.7353,19.2033
Brazil,2015,Female,10.4923,0.9047,1.9613,1.9705,0.5808,22.3671
Brazil,2010,Both sexes,12.146,0.9518,2.5473,1.383,0.711,22.7394
Brazil,2010,Male,11.602,0.9033,5.8745,0.5748,0.8862,36.3087
Brazil,2010,Female,7.7993,0.4775,3.0556,1.8399,0.489,20.6962
Brazil,2005,Both sexes,14.5487,0.8023,3.2236,1.1776,0.4715,37.4417
Brazil,2005,Male,12.379,0.5287,3.8827,0.5614,0.7878,27.2944
Brazil,2005,Female,10.5435,0.5478,5.9167,1.8669,0.6243,27.1331
